CountryName,Date,C1_School closing,C2_Workplace closing,C6_Stay at home requirements,H6_Facial Coverings
United States,20200906,2.0,2.0,1.0,3.0
United States,20200907,2.0,2.0,1.0,3.0
United States,20200908,2.0,2.0,1.0,3.0
United States,20200909,2.0,2.0,1.0,3.0
United States,20200910,2.0,2.0,1.0,3.0
United States,20200911,2.0,2.0,1.0,3.0
United States,20200921,2.0,1.0,1.0,3.0
United States,20200922,2.0,1.0,1.0,3.0
United States,20200923,2.0,1.0,1.0,3.0
United States,20200924,2.0,1.0,1.0,3.0
United States,20200925,2.0,1.0,1.0,3.0
United States,20200926,2.0,1.0,1.0,3.0
United States,20200927,2.0,1.0,1.0,3.0
United States,20200928,2.0,1.0,1.0,3.0
United States,20200929,2.0,1.0,1.0,3.0
United States,20200930,2.0,1.0,1.0,3.0
United States,20201001,2.0,1.0,1.0,3.0
United States,20201002,2.0,1.0,1.0,3.0
United States,20201003,2.0,1.0,1.0,3.0
United States,20201004,2.0,1.0,1.0,3.0
United States,20201005,2.0,1.0,1.0,3.0
United States,20201006,2.0,1.0,1.0,3.0
United States,20201007,2.0,1.0,1.0,3.0
United States,20201008,2.0,1.0,1.0,3.0
United States,20201009,1.0,1.0,1.0,3.0
United States,20201010,1.0,1.0,1.0,3.0
United States,20201011,1.0,1.0,1.0,3.0
United States,20201012,1.0,1.0,1.0,3.0
United States,20201013,1.0,1.0,1.0,3.0
United States,20201014,1.0,1.0,1.0,3.0
United States,20201015,1.0,1.0,1.0,3.0
United States,20201016,1.0,1.0,1.0,3.0
United States,20201017,1.0,1.0,1.0,3.0
United States,20201018,1.0,1.0,1.0,3.0
United States,20201019,1.0,1.0,1.0,3.0
United States,20201020,1.0,1.0,1.0,3.0
United States,20201021,1.0,1.0,1.0,3.0
United States,20201022,1.0,1.0,1.0,3.0
United States,20200101,0.0,0.0,0.0,0.0
United States,20200102,0.0,0.0,0.0,0.0
United States,20200103,0.0,0.0,0.0,0.0
United States,20200104,0.0,0.0,0.0,0.0
United States,20200105,0.0,0.0,0.0,0.0
United States,20200106,0.0,0.0,0.0,0.0
United States,20200107,0.0,0.0,0.0,0.0
United States,20200108,0.0,0.0,0.0,0.0
United States,20200109,0.0,0.0,0.0,0.0
United States,20200110,0.0,0.0,0.0,0.0
United States,20200111,0.0,0.0,0.0,0.0
United States,20200112,0.0,0.0,0.0,0.0
United States,20200113,0.0,0.0,0.0,0.0
United States,20200114,0.0,0.0,0.0,0.0
United States,20200115,0.0,0.0,0.0,0.0
United States,20200116,0.0,0.0,0.0,0.0
United States,20200117,0.0,0.0,0.0,0.0
United States,20200118,0.0,0.0,0.0,0.0
United States,20200119,0.0,0.0,0.0,0.0
United States,20200120,0.0,0.0,0.0,0.0
United States,20200121,0.0,0.0,0.0,0.0
United States,20200122,0.0,0.0,0.0,0.0
United States,20200123,0.0,0.0,0.0,0.0
United States,20200124,0.0,0.0,0.0,0.0
United States,20200125,0.0,0.0,0.0,0.0
United States,20200126,0.0,0.0,0.0,0.0
United States,20200127,0.0,0.0,0.0,0.0
United States,20200128,0.0,0.0,0.0,0.0
United States,20200129,0.0,0.0,0.0,0.0
United States,20200130,0.0,0.0,0.0,0.0
United States,20200131,0.0,0.0,0.0,0.0
United States,20200201,0.0,0.0,0.0,0.0
United States,20200202,0.0,0.0,0.0,0.0
United States,20200203,0.0,0.0,0.0,0.0
United States,20200204,0.0,0.0,0.0,0.0
United States,20200205,0.0,0.0,0.0,0.0
United States,20200206,0.0,0.0,0.0,0.0
United States,20200207,0.0,0.0,0.0,0.0
United States,20200208,0.0,0.0,0.0,0.0
United States,20200209,0.0,0.0,0.0,0.0
United States,20200210,0.0,0.0,0.0,0.0
United States,20200211,0.0,0.0,0.0,0.0
